Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/04/28	Fri	03:02 PM	7.58	231	H
2017/04/28	Fri	08:25 PM	1.87	57	L
2017/04/29	Sat	02:29 AM	9.34	285	H
2017/04/29	Sat	09:19 AM	-1.78	-54	L
2017/04/29	Sat	03:59 PM	7.31	223	H
2017/04/29	Sat	09:16 PM	2.32	71	L
2017/04/30	Sun	03:17 AM	8.95	273	H
2017/04/30	Sun	10:14 AM	-1.50	-46	L
2017/04/30	Sun	05:01 PM	7.03	214	H
2017/04/30	Sun	10:14 PM	2.71	83	L
2017/05/01	Mon	04:11 AM	8.36	255	H
2017/05/01	Mon	11:12 AM	-1.07	-33	L
2017/05/01	Mon	06:07 PM	6.85	209	H
2017/05/01	Mon	11:23 PM	2.96	90	L
2017/05/02	Tue	05:14 AM	7.68	234	H
2017/05/02	Tue	12:16 PM	-0.59	-18	L
2017/05/02	Tue	07:15 PM	6.84	208	H
2017/05/03	Wed	12:43 AM	2.95	90	L
2017/05/03	Wed	06:28 AM	7.04	215	H
2017/05/03	Wed	01:21 PM	-0.15	-5	L
2017/05/03	Wed	08:19 PM	6.99	213	H
2017/05/04	Thu	02:05 AM	2.62	80	L
2017/05/04	Thu	07:48 AM	6.61	201	H
2017/05/04	Thu	02:24 PM	0.22	7	L
2017/05/04	Thu	09:15 PM	7.26	221	H
2017/05/05	Fri	03:16 AM	2.05	62	L
2017/05/05	Fri	09:04 AM	6.44	196	H
2017/05/05	Fri	03:21 PM	0.54	16	L
2017/05/05	Fri	10:02 PM	7.54	230	H
2017/05/06	Sat	04:15 AM	1.41	43	L
2017/05/06	Sat	10:11 AM	6.44	196	H
2017/05/06	Sat	04:12 PM	0.85	26	L
2017/05/06	Sat	10:42 PM	7.80	238	H
2017/05/07	Sun	05:03 AM	0.79	24	L
2017/05/07	Sun	11:09 AM	6.51	198	H
2017/05/07	Sun	04:55 PM	1.17	36	L
2017/05/07	Sun	11:17 PM	8.00	244	H
2017/05/08	Mon	05:45 AM	0.27	8	L
2017/05/08	Mon	11:59 AM	6.60	201	H
2017/05/08	Mon	05:35 PM	1.50	46	L
2017/05/08	Mon	11:49 PM	8.14	248	H
2017/05/09	Tue	06:23 AM	-0.14	-4	L
2017/05/09	Tue	12:43 PM	6.66	203	H
2017/05/09	Tue	06:11 PM	1.83	56	L
2017/05/10	Wed	12:19 AM	8.21	250	H
2017/05/10	Wed	06:58 AM	-0.43	-13	L
2017/05/10	Wed	01:25 PM	6.69	204	H
2017/05/10	Wed	06:45 PM	2.16	66	L
2017/05/11	Thu	12:48 AM	8.20	250	H
2017/05/11	Thu	07:32 AM	-0.60	-18	L
2017/05/11	Thu	02:05 PM	6.66	203	H
2017/05/11	Thu	07:19 PM	2.47	75	L
2017/05/12	Fri	01:18 AM	8.12	247	H
2017/05/12	Fri	08:07 AM	-0.66	-20	L
2017/05/12	Fri	02:45 PM	6.58	201	H
2017/05/12	Fri	07:54 PM	2.76	84	L
2017/05/13	Sat	01:48 AM	7.96	243	H
2017/05/13	Sat	08:42 AM	-0.60	-18	L
2017/05/13	Sat	03:27 PM	6.46	197	H
