Date,Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/05/09	Tue	02:01 PM	6.11	186	H
2017/05/09	Tue	07:36 PM	1.56	48	L
2017/05/10	Wed	01:42 AM	7.33	223	H
2017/05/10	Wed	08:18 AM	-0.34	-10	L
2017/05/10	Wed	02:42 PM	6.14	187	H
2017/05/10	Wed	08:12 PM	1.81	55	L
2017/05/11	Thu	02:13 AM	7.33	223	H
2017/05/11	Thu	08:53 AM	-0.48	-15	L
2017/05/11	Thu	03:21 PM	6.12	187	H
2017/05/11	Thu	08:46 PM	2.05	62	L
2017/05/12	Fri	02:43 AM	7.25	221	H
2017/05/12	Fri	09:27 AM	-0.52	-16	L
2017/05/12	Fri	04:00 PM	6.05	184	H
2017/05/12	Fri	09:21 PM	2.29	70	L
2017/05/13	Sat	03:14 AM	7.10	216	H
2017/05/13	Sat	10:02 AM	-0.47	-14	L
2017/05/13	Sat	04:40 PM	5.94	181	H
2017/05/13	Sat	09:56 PM	2.52	77	L
2017/05/14	Sun	03:46 AM	6.89	210	H
2017/05/14	Sun	10:39 AM	-0.34	-10	L
2017/05/14	Sun	05:22 PM	5.79	176	H
2017/05/14	Sun	10:35 PM	2.73	83	L
2017/05/15	Mon	04:21 AM	6.62	202	H
2017/05/15	Mon	11:19 AM	-0.16	-5	L
2017/05/15	Mon	06:08 PM	5.65	172	H
2017/05/15	Mon	11:18 PM	2.90	88	L
2017/05/16	Tue	05:01 AM	6.31	192	H
2017/05/16	Tue	12:02 PM	0.06	2	L
2017/05/16	Tue	06:58 PM	5.56	169	H
2017/05/17	Wed	12:11 AM	3.00	91	L
2017/05/17	Wed	05:48 AM	5.96	182	H
2017/05/17	Wed	12:50 PM	0.29	9	L
